Concept,Relation,Description,"Target object (should appear in the ""Concept list"")",Max Cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"Other characteristics: symmetric, transitive, has some special behaviour or meaning?",Needed by,Standards
Copper pipes,subClassOf,,Copper,,,,,
Copper profiles,subClassOf,,Copper,,,,,
Cast or forged copper and brass items,subClassOf,,Copper,,,,,
Anodising of aluminium,subClassOf,,Surface treatment and coating of metals,,,,,
(Wet) varnishing of metals,subClassOf,,Surface treatment and coating of metals,,,,,
Powder coating,subClassOf,,Surface treatment and coating of metals,,,,,
Zinc coating of steel,subClassOf,,Surface treatment and coating of metals,,,,,
Dispersion,subClassOf,,Facade paint,,,,,
Silicate dispersion,subClassOf,,Facade paint,,,,,
Silicone resin,subClassOf,,Facade paint,,,,,
Wall and ceiling covering,subClassOf,,Interior covering,,,,,
Interior paint,subClassOf,,Interior covering,,,,,
Dispersion glue,subClassOf,,Interior covering,,,,,
Varnish systems for wooden windows,subClassOf,,Varnishes and stains,,,,,
Varnish systems for wooden facade,subClassOf,,Varnishes and stains,,,,,
Parquet varnish,subClassOf,,Varnishes and stains,,,,,
Varnish systems for metals,subClassOf,,Varnishes and stains,,,,,
Reactive resin on epoxy basis,subClassOf,,Reactive resin,,,,,
Reaction resin on polyurethane basis,subClassOf,,Reactive resin,,,,,
Reaction resin on methacrylate basis,subClassOf,,Reactive resin,,,,,
Tab water tubes,subClassOf,,Tubes,,,,,
Sewer tube,subClassOf,,Tubes,,,,,
Rainwater/Grey water tubes,subClassOf,,Tubes,,,,,
PVC flooring,subClassOf,,Floorings,,,,,
Rubber flooring,subClassOf,,Floorings,,,,,
Thermoplastic / Polyolefine flooring,subClassOf,,Floorings,,,,,
Linoleum flooring,subClassOf,,Floorings,,,,,
Textile flooring,subClassOf,,Floorings,,,,,
Bituminous sheet,subClassOf,,Roofing membranes,,,,,
PVC sheet,subClassOf,,Roofing membranes,,,,,
Elastomer sheet,subClassOf,,Roofing membranes,,,,,
EVA sheet (Ehylene Vinyl Acetate),subClassOf,,Roofing membranes,,,,,
TPO roofing membranes,subClassOf,,Roofing membranes,,,,,
Solar plastic sheeting,subClassOf,,Roofing membranes,,,,,
Dowel for sheetings,subClassOf,,Roofing membranes,,,,,
ECB roofing membrane (Ethylene Copolymer Bitumen),subClassOf,,Roofing membranes,,,,,
PIB sheeting (Polyisobutylene),subClassOf,,Roofing membranes,,,,,
Rigid plastic profiles,subClassOf,,Profiles,,,,,
Elastic plastic profiles,subClassOf,,Profiles,,,,,
Resin-composite facade panels,subClassOf,,Elastic plastic profiles,,,,,
Transparent panels,subClassOf,,Elastic plastic profiles,,,,,
Dowel systems for panels,subClassOf,,Elastic plastic profiles,,,,,
Secondary water-shedding membrane,subClassOf,,Foils and fleeces,,,,,
Vapour barriers and brakes,subClassOf,,Foils and fleeces,,,,,
Sealing foils,subClassOf,,Foils and fleeces,,,,,
Fleeces,subClassOf,,Foils and fleeces,,,,,
Building papers,subClassOf,,Foils and fleeces,,,,,
Air cushion,subClassOf,,Foils and fleeces,,,,,
Technical textiles,subClassOf,,Foils and fleeces,,,,,
Rubber,subClassOf,,Sealing materials,,,,,
Silicone,subClassOf,,Sealing materials,,,,,
Polyurethane,subClassOf,,Sealing materials,,,,,
Bitumen,subClassOf,,Sealing materials,,,,,
PVC,subClassOf,,Sealing materials,,,,,
Acrylate,subClassOf,,Sealing materials,,,,,
Polysulphide,subClassOf,,Sealing materials,,,,,
Wood,subClassOf,,Frames / Profiles,,,,,
Wood thermally separated,subClassOf,,Frames / Profiles,,,,,
Derived timber products,subClassOf,,Frames / Profiles,,,,,
Wood-aluminium,subClassOf,,Frames / Profiles,,,,,
Aluminium,subClassOf,,Frames / Profiles,,,,,
Aluminium thermally separated,subClassOf,,Frames / Profiles,,,,,
Steel,subClassOf,,Frames / Profiles,,,,,
Steel galvanised,subClassOf,,Frames / Profiles,,,,,
PVC,subClassOf,,Frames / Profiles,,,,,
Polyurethane rigid foam,subClassOf,,Frames / Profiles,,,,,
Transparent infill,subClassOf,,Infill,,,,,
Opaque fillings,subClassOf,,Sealing components / materials,,,,,
Sealing profiles,subClassOf,,Sealing components / materials,,,,,
Sprayable sealant,subClassOf,,Sealing components / materials,,,,,
Waterproof foam sealant,subClassOf,,Sealing components / materials,,,,,
Joint sealing tapes,subClassOf,,Sealing components / materials,,,,,
Rubber seal,subClassOf,,Sealing components / materials,,,,,
Sealing membranes,subClassOf,,Sealing components / materials,,,,,
Stop beads for rendering applications,subClassOf,,Sealing components / materials,,,,,
Steel window fittings,subClassOf,,Window fittings,,,,,
Aluminium window fittings,subClassOf,,Window fittings,,,,,
Bronze window fittings,subClassOf,,Window fittings,,,,,
Brass window fittings,subClassOf,,Window fittings,,,,,
Stainless steal window fittings,subClassOf,,Window fittings,,,,,
Fastening materials,subClassOf,,Window fittings,,,,,
Window handles,subClassOf,,Window fittings,,,,,
Zinc fittings,subClassOf,,Window fittings,,,,,
